"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","p53","PI3K","TGFb","TNFa","Trail","VEGF","WNT"
"ASG002_BC3C_24H:A10",-1.0052402467695,-1.76442171710549,-1.06816683430716,0.904649863313146,-1.45052360795943,-1.27047593954907,-1.71007263561307,0.445986788600144,-2.25674613783569,0.484224192418709,-1.6499483180423,-0.777135692309389,0.165009805897524,1.44256630089001
"ASG002_BC3C_24H:A11",0.922372118931032,-1.6053853763174,-2.42711497241065,1.04475033471513,-0.882622913666893,-1.2218882649359,-1.21068345719313,0.161616289761219,-1.69634274323636,0.824030880016892,-0.598949749873431,0.830901457035911,-1.65681343214245,-0.43903204150411
"ASG002_BC3C_24H:A19",-0.446362924800011,0.249422320838018,-0.447768157596559,0.323497678627315,-0.913469815125875,-0.162721255033634,-0.726253389246547,-0.598994653126309,1.04851526173842,0.446066902826163,-0.768857682596621,1.00950163702797,0.210046347783542,-0.314869734351492
"ASG002_BC3C_24H:A20",-0.884939492904468,0.17874890412464,-0.65897432998789,1.19779806619837,-0.954322022335659,0.30010741673648,-0.812351054202335,-0.921930127543201,1.02784689235661,-0.11677059071737,-0.867796386216786,-1.00887064706712,-0.488566961443779,0.162173279416727
"ASG002_BC3C_24H:A21",0.309422842057023,1.13011255528316,-0.433429783657116,0.605220775514212,-1.65823504027206,0.682215869535071,-0.316993703456073,-0.230940159288953,0.781645353712202,0.363935890998685,-0.15705703348233,1.0160216357206,-0.0193006319632936,-0.189618885497526
"ASG002_BC3C_24H:B10",0.322160222807531,0.648352265262965,-0.523594648775348,0.725352894136855,-0.665078903872813,0.254856166537912,-0.0588655182460581,-1.08158380255623,0.925068565732876,-0.00800270923415384,-0.281282544066812,-1.01406747250402,-2.44094707090499,0.000218424741581461
"ASG002_BC3C_24H:B11",0.936714674384803,0.466638436774618,0.321947223764959,-0.238793172893475,-1.15657011039423,0.52584577693104,1.894417240616,-0.509098315615486,0.536112864278178,-0.665444981989333,2.11960617193858,0.218136068686068,-1.71273186204765,-0.623532589089079
"ASG002_BC3C_24H:B12",0.506195131322477,-0.566279289416328,-0.770111822253254,-1.02109673407689,-0.299784503967843,-0.947048362946905,-0.464289706646902,-0.562793689319351,0.769987434565887,0.600779133696627,-0.337964351644119,-1.27687220327032,0.196097826199564,0.356694019552191
"ASG002_BC3C_24H:B14",0.426213051042965,1.28739255048792,1.00605753073016,-0.0543287564005228,0.700543467640224,1.12275897386623,0.572159143676507,-0.823989139006079,1.19023923478313,0.44294700198515,0.345838804826799,-0.320795105503216,-0.694027145082326,0.146053929547217
"ASG002_BC3C_24H:B15",0.447058015264736,0.555812956174355,-0.729231448653361,1.08211136466224,-0.746924189661644,0.358471765597395,0.332307305935873,-1.13798954044853,0.827499422838863,-0.259116871977183,0.544709330821955,0.361211420585004,0.94707540068109,0.202254049618714
"ASG002_BC3C_24H:C13",0.522245154144731,0.791657407701641,0.629669788792201,0.389201243026239,-0.0590500116241973,0.0630054975290211,0.29465691508182,-0.444937857686046,0.411588908835206,0.14488877667731,0.167144480406239,1.05436675701347,-0.598593187219878,-0.10030964779986
"ASG002_BC3C_24H:C14",-0.354139455033014,0.101030144153926,-0.623702925304002,0.16334898437433,-0.510076196132704,-0.367008833722291,-0.109367722181828,-0.55495619485594,1.07726601040352,-0.00902793308836268,-0.335718119552497,-0.521638821913437,-0.179142554729434,-0.10139818950121
"ASG002_BC3C_24H:C15",0.800917078833714,0.971229011196052,0.772527596450399,0.463484651292988,-0.451576351508105,0.648228554687013,-0.257238228566625,-0.831785241877905,0.624804628334757,-0.0515453151036602,-0.370163703969573,0.155842657611258,-0.222766397626056,-0.148013325965785
"ASG002_BC3C_24H:C16",0.421176580553784,-0.0421638318894924,0.21519224116996,-0.154364712654181,-1.77728141386279,0.453322497392226,-1.00005879853208,0.250594632688492,-3.01464774940884,-0.396278320477556,-0.605631953160115,0.944752998780659,-0.804338690593888,-0.15106394331012
"ASG002_BC3C_24H:C17",0.364594018770763,0.501349244855341,0.924535823683301,-0.130523741961287,-1.51274543709076,0.517720318055203,0.0932258942959777,-0.041931030203556,-1.37465427908693,0.340399946479606,0.390278841198047,-0.379038768715665,-0.385818070165905,-1.35695937275487
"ASG002_BC3C_24H:C18",0.487957835420032,0.876706302849407,-1.14782857319336,-0.207033718433462,-0.985384059788161,0.750690388749333,0.053099917574949,-1.34209117610506,0.683577085258742,0.156696649488841,0.171028009445553,-0.407727863564776,0.122823898494058,-0.277512395772538
"ASG002_BC3C_24H:E19",0.540864949465079,2.28672268118824,0.313538309861512,0.589724362665916,-0.64380637231801,2.48117540551984,0.883799050539207,-0.957831850200881,0.637227334366573,-0.115258436952239,0.930898142620984,-0.815332522986961,0.501939497432193,0.67232644949594
"ASG002_BC3C_24H:E20",1.18584839168592,0.436582102128676,-0.647606657522004,-0.803026607272392,-0.31626927617692,0.0916187730937685,-0.164302640009078,-0.944764121407639,1.62148039317552,-1.37774972882338,-0.2441017202602,1.10791811586306,0.995619321499245,-0.945699385295414
"ASG002_BC3C_24H:E21",0.768660004936392,0.485500562316669,0.0263968465038879,0.724741673851143,-0.468335704434481,0.179063947909715,-0.518865050272625,-1.01269871598471,1.0390929072506,-0.621878731750822,-0.689156827734419,-1.21540515713524,1.05735069445485,-0.0573974227525679
